sku,date,quantity,is_promotional,region
SKU-A,2024-01-01,103.5,False,default
SKU-B,2024-01-01,62.6,False,default
SKU-C,2024-01-01,176.2,False,default
SKU-A,2024-01-02,118.9,False,default
SKU-B,2024-01-02,61.7,False,default
SKU-C,2024-01-02,154.2,False,default
SKU-A,2024-01-03,119.7,False,default
SKU-B,2024-01-03,71.7,False,default
SKU-C,2024-01-03,148.3,False,default
SKU-A,2024-01-04,104.2,False,default
SKU-B,2024-01-04,59.4,False,default
SKU-C,2024-01-04,148.5,False,default
SKU-A,2024-01-05,90.2,False,default
SKU-B,2024-01-05,38.5,False,default
SKU-C,2024-01-05,101.0,False,default
SKU-A,2024-01-06,30.1,False,default
SKU-B,2024-01-06,15.5,False,default
SKU-C,2024-01-06,72.0,False,default
SKU-A,2024-01-07,5.6,False,default
SKU-B,2024-01-07,0.0,False,default
SKU-C,2024-01-07,68.7,False,default
SKU-A,2024-01-08,93.0,False,default
SKU-B,2024-01-08,64.9,False,default
SKU-C,2024-01-08,124.8,False,default
SKU-A,2024-01-09,88.3,False,default
SKU-B,2024-01-09,65.4,False,default
SKU-C,2024-01-09,131.8,False,default
SKU-A,2024-01-10,102.2,False,default
SKU-B,2024-01-10,58.3,False,default
SKU-C,2024-01-10,153.4,False,default
SKU-A,2024-01-11,87.6,False,default
SKU-B,2024-01-11,82.9,False,default
SKU-C,2024-01-11,160.5,False,default
SKU-A,2024-01-12,71.2,False,default
SKU-B,2024-01-12,66.2,False,default
SKU-C,2024-01-12,114.4,False,default
SKU-A,2024-01-13,41.9,False,default
SKU-B,2024-01-13,6.2,False,default
SKU-C,2024-01-13,31.3,False,default
SKU-A,2024-01-14,22.4,False,default
SKU-B,2024-01-14,20.3,False,default
SKU-C,2024-01-14,36.6,False,default
SKU-A,2024-01-15,95.4,False,default
SKU-B,2024-01-15,61.7,False,default
SKU-C,2024-01-15,124.7,False,default
SKU-A,2024-01-16,86.5,False,default
SKU-B,2024-01-16,60.2,False,default
SKU-C,2024-01-16,188.3,False,default
SKU-A,2024-01-17,102.6,False,default
SKU-B,2024-01-17,47.3,False,default
SKU-C,2024-01-17,170.2,False,default
SKU-A,2024-01-18,91.8,False,default
SKU-B,2024-01-18,58.2,False,default
SKU-C,2024-01-18,177.6,False,default
SKU-A,2024-01-19,103.5,False,default
SKU-B,2024-01-19,67.9,False,default
SKU-C,2024-01-19,125.4,False,default
SKU-A,2024-01-20,34.6,False,default
SKU-B,2024-01-20,29.4,False,default
SKU-C,2024-01-20,89.5,False,default
SKU-A,2024-01-21,12.4,False,default
SKU-B,2024-01-21,11.2,False,default
SKU-C,2024-01-21,5.0,False,default
SKU-A,2024-01-22,80.4,False,default
SKU-B,2024-01-22,73.6,False,default
SKU-C,2024-01-22,197.4,False,default
SKU-A,2024-01-23,97.5,False,default
SKU-B,2024-01-23,75.6,False,default
SKU-C,2024-01-23,172.9,False,default
SKU-A,2024-01-24,89.1,False,default
SKU-B,2024-01-24,69.4,False,default
SKU-C,2024-01-24,202.6,False,default
SKU-A,2024-01-25,98.5,False,default
SKU-B,2024-01-25,81.5,False,default
SKU-C,2024-01-25,99.0,False,default
SKU-A,2024-01-26,101.7,False,default
SKU-B,2024-01-26,60.3,False,default
SKU-C,2024-01-26,140.9,False,default
SKU-A,2024-01-27,41.2,False,default
SKU-B,2024-01-27,6.6,False,default
SKU-C,2024-01-27,60.6,False,default
SKU-A,2024-01-28,25.3,False,default
SKU-B,2024-01-28,28.1,False,default
SKU-C,2024-01-28,20.2,False,default
SKU-A,2024-01-29,87.9,False,default
SKU-B,2024-01-29,61.5,False,default
SKU-C,2024-01-29,189.0,False,default
SKU-A,2024-01-30,105.2,False,default
SKU-B,2024-01-30,61.4,False,default
SKU-C,2024-01-30,179.3,False,default
SKU-A,2024-01-31,102.0,False,default
SKU-B,2024-01-31,76.6,False,default
SKU-C,2024-01-31,149.4,False,default
SKU-A,2024-02-01,95.9,False,default
SKU-B,2024-02-01,63.1,False,default
SKU-C,2024-02-01,130.8,False,default
SKU-A,2024-02-02,95.4,False,default
SKU-B,2024-02-02,63.1,False,default
SKU-C,2024-02-02,151.2,False,default
SKU-A,2024-02-03,37.0,False,default
SKU-B,2024-02-03,12.8,False,default
SKU-C,2024-02-03,56.8,False,default
SKU-A,2024-02-04,15.2,False,default
SKU-B,2024-02-04,5.5,False,default
SKU-C,2024-02-04,29.7,False,default
SKU-A,2024-02-05,108.1,False,default
SKU-B,2024-02-05,86.7,False,default
SKU-C,2024-02-05,173.6,False,default
SKU-A,2024-02-06,106.2,False,default
SKU-B,2024-02-06,67.3,False,default
SKU-C,2024-02-06,121.8,False,default
SKU-A,2024-02-07,102.3,False,default
SKU-B,2024-02-07,68.9,False,default
SKU-C,2024-02-07,231.9,False,default
SKU-A,2024-02-08,100.1,False,default
SKU-B,2024-02-08,71.5,False,default
SKU-C,2024-02-08,170.0,False,default
SKU-A,2024-02-09,75.5,False,default
SKU-B,2024-02-09,73.3,False,default
SKU-C,2024-02-09,173.1,False,default
SKU-A,2024-02-10,53.3,False,default
SKU-B,2024-02-10,18.5,False,default
SKU-C,2024-02-10,103.8,False,default
SKU-A,2024-02-11,0.0,False,default
SKU-B,2024-02-11,19.7,False,default
SKU-C,2024-02-11,89.3,False,default
SKU-A,2024-02-12,89.6,False,default
SKU-B,2024-02-12,63.7,False,default
SKU-C,2024-02-12,175.6,False,default
SKU-A,2024-02-13,97.2,False,default
SKU-B,2024-02-13,54.1,False,default
SKU-C,2024-02-13,175.4,False,default
SKU-A,2024-02-14,89.2,False,default
SKU-B,2024-02-14,74.6,False,default
SKU-C,2024-02-14,151.3,False,default
SKU-A,2024-02-15,128.8,False,default
SKU-B,2024-02-15,62.3,False,default
SKU-C,2024-02-15,166.9,False,default
SKU-A,2024-02-16,107.6,False,default
SKU-B,2024-02-16,51.0,False,default
SKU-C,2024-02-16,163.7,False,default
SKU-A,2024-02-17,62.1,False,default
SKU-B,2024-02-17,12.2,False,default
SKU-C,2024-02-17,75.1,False,default
SKU-A,2024-02-18,25.2,False,default
SKU-B,2024-02-18,22.0,False,default
SKU-C,2024-02-18,4.4,False,default
SKU-A,2024-02-19,87.3,False,default
SKU-B,2024-02-19,76.4,False,default
SKU-C,2024-02-19,184.9,False,default
SKU-A,2024-02-20,111.3,False,default
SKU-B,2024-02-20,74.9,False,default
SKU-C,2024-02-20,161.1,False,default
SKU-A,2024-02-21,111.5,False,default
SKU-B,2024-02-21,74.6,False,default
SKU-C,2024-02-21,160.9,False,default
SKU-A,2024-02-22,136.4,False,default
SKU-B,2024-02-22,76.7,False,default
SKU-C,2024-02-22,149.7,False,default
SKU-A,2024-02-23,107.8,False,default
SKU-B,2024-02-23,55.3,False,default
SKU-C,2024-02-23,181.8,False,default
SKU-A,2024-02-24,61.1,False,default
SKU-B,2024-02-24,20.8,False,default
SKU-C,2024-02-24,96.4,False,default
SKU-A,2024-02-25,28.1,False,default
SKU-B,2024-02-25,22.8,False,default
SKU-C,2024-02-25,83.7,False,default
SKU-A,2024-02-26,106.5,False,default
SKU-B,2024-02-26,65.6,False,default
SKU-C,2024-02-26,160.1,False,default
SKU-A,2024-02-27,98.4,False,default
SKU-B,2024-02-27,72.7,False,default
SKU-C,2024-02-27,191.6,False,default
SKU-A,2024-02-28,115.3,False,default
SKU-B,2024-02-28,82.0,False,default
SKU-C,2024-02-28,184.1,False,default
SKU-A,2024-02-29,133.4,False,default
SKU-B,2024-02-29,71.4,False,default
SKU-C,2024-02-29,252.5,False,default
SKU-A,2024-03-01,110.2,False,default
SKU-B,2024-03-01,58.3,False,default
SKU-C,2024-03-01,140.0,False,default
SKU-A,2024-03-02,52.2,False,default
SKU-B,2024-03-02,27.6,False,default
SKU-C,2024-03-02,92.3,False,default
SKU-A,2024-03-03,29.7,False,default
SKU-B,2024-03-03,14.3,False,default
SKU-C,2024-03-03,16.2,False,default
SKU-A,2024-03-04,181.5,True,default
SKU-B,2024-03-04,70.8,False,default
SKU-C,2024-03-04,209.0,False,default
SKU-A,2024-03-05,208.3,True,default
SKU-B,2024-03-05,63.1,False,default
SKU-C,2024-03-05,192.7,False,default
SKU-A,2024-03-06,211.8,True,default
SKU-B,2024-03-06,67.1,False,default
SKU-C,2024-03-06,193.0,False,default
SKU-A,2024-03-07,207.8,True,default
SKU-B,2024-03-07,64.8,False,default
SKU-C,2024-03-07,198.9,False,default
SKU-A,2024-03-08,195.5,True,default
SKU-B,2024-03-08,79.7,False,default
SKU-C,2024-03-08,198.0,False,default
SKU-A,2024-03-09,62.8,True,default
SKU-B,2024-03-09,21.4,False,default
SKU-C,2024-03-09,89.5,False,default
SKU-A,2024-03-10,49.6,True,default
SKU-B,2024-03-10,20.6,False,default
SKU-C,2024-03-10,134.8,False,default
SKU-A,2024-03-11,219.1,True,default
SKU-B,2024-03-11,88.9,False,default
SKU-C,2024-03-11,217.1,False,default
SKU-A,2024-03-12,221.3,True,default
SKU-B,2024-03-12,74.8,False,default
SKU-C,2024-03-12,213.0,False,default
SKU-A,2024-03-13,200.8,True,default
SKU-B,2024-03-13,75.9,False,default
SKU-C,2024-03-13,182.7,False,default
SKU-A,2024-03-14,214.6,True,default
SKU-B,2024-03-14,101.7,False,default
SKU-C,2024-03-14,149.0,False,default
SKU-A,2024-03-15,203.2,True,default
SKU-B,2024-03-15,54.9,False,default
SKU-C,2024-03-15,165.1,False,default
SKU-A,2024-03-16,102.4,True,default
SKU-B,2024-03-16,32.4,False,default
SKU-C,2024-03-16,52.0,False,default
SKU-A,2024-03-17,32.5,True,default
SKU-B,2024-03-17,22.7,False,default
SKU-C,2024-03-17,21.4,False,default
SKU-A,2024-03-18,220.4,True,default
SKU-B,2024-03-18,80.4,False,default
SKU-C,2024-03-18,182.8,False,default
SKU-A,2024-03-19,250.3,True,default
SKU-B,2024-03-19,86.6,False,default
SKU-C,2024-03-19,149.3,False,default
SKU-A,2024-03-20,221.9,True,default
SKU-B,2024-03-20,74.0,False,default
SKU-C,2024-03-20,222.1,False,default
SKU-A,2024-03-21,208.2,True,default
SKU-B,2024-03-21,79.9,False,default
SKU-C,2024-03-21,214.3,False,default
SKU-A,2024-03-22,211.9,True,default
SKU-B,2024-03-22,61.2,False,default
SKU-C,2024-03-22,173.9,False,default
